embedding_version,extra_tags,model_name,train_frac,rmse_per_sample.mean,rmse_per_sample.std,rmse_mean.mean,rmse_mean.std,inconsistency_per_sample.mean,inconsistency_per_sample.std,inconsistency_mean.mean,inconsistency_mean.std
none,besthp,MyNet-big,0.1,2.6787391781806944,0.9060939480579926,2.6627828240394593,0.9017536873162879,0.0,0.0,0.0,0.0
none,besthp,MyNet-big,0.2,1.9267229080200194,0.21626943629567943,1.9063397526741028,0.20057954380807017,0.0,0.0,0.0,0.0
none,besthp,MyNet-big,0.3,1.9517337918281554,0.13864133620055671,1.9389505863189698,0.13679310973589281,0.0,0.0,0.0,0.0
none,besthp,MyNet-big,0.4,1.8143206357955932,0.09881115186919716,1.8027295351028443,0.09732350619331653,0.0,0.0,0.0,0.0
none,besthp,MyNet-big,0.5,1.743843412399292,0.07386393083441058,1.7316417813301086,0.07269365914634365,0.0,0.0,0.0,0.0
none,besthp,MyNet-big,1.0,1.7002630233764648,0.023097299995339615,1.6908327698707581,0.024345267593093023,0.0,0.0,0.0,0.0
none,besthp,MyNet-medium,0.1,3.202604293823242,1.243498954367957,3.147222065925598,1.2367531780001548,0.0,0.0,0.0,0.0
none,besthp,MyNet-medium,0.2,2.254255449771881,0.23941909868382483,2.198727321624756,0.2377862284251563,0.0,0.0,0.0,0.0
none,besthp,MyNet-medium,0.3,2.1165589690208435,0.1772875255130884,2.0557443141937255,0.1782925394250634,0.0,0.0,0.0,0.0
none,besthp,MyNet-medium,0.4,2.0373696446418763,0.045830801919862885,1.9747174859046936,0.0414743903458811,0.0,0.0,0.0,0.0
none,besthp,MyNet-medium,0.5,2.018323278427124,0.06586183082587008,1.959533143043518,0.0656379038127295,0.0,0.0,0.0,0.0
none,besthp,MyNet-medium,1.0,1.8655736446380615,0.07742327642152605,1.8190386772155762,0.0615958927749456,0.0,0.0,0.0,0.0
none,besthp,MyNet-small,0.1,3.119670867919922,1.1944991127875377,3.0979543328285217,1.2042931551661353,0.0,0.0,0.0,0.0
none,besthp,MyNet-small,0.2,2.1337188363075255,0.2644265113974813,2.105071413516998,0.25548336575173336,0.0,0.0,0.0,0.0
none,besthp,MyNet-small,0.3,2.0748952865600585,0.2175906970897115,2.045340895652771,0.21377458723701961,0.0,0.0,0.0,0.0
none,besthp,MyNet-small,0.4,1.8992583513259889,0.127825892690945,1.8727741360664367,0.13252393712425178,0.0,0.0,0.0,0.0
none,besthp,MyNet-small,0.5,1.8009485721588134,0.1051706131863094,1.7796056389808654,0.10168015582005603,0.0,0.0,0.0,0.0
none,besthp,MyNet-small,1.0,1.7458699226379395,0.08472899096222489,1.7240198016166688,0.07544102622396656,0.0,0.0,0.0,0.0
orig,theirhp,PGA-LSTM,0.1,4.4393344759941105,4.069843355193168,4.4223661661148075,4.073752077644992,0.0,0.0,0.0,0.0
orig,theirhp,PGA-LSTM,0.2,2.065440022945404,0.43253555703115687,2.0387717485427856,0.4404977626506151,0.0,0.0,0.0,0.0
orig,theirhp,PGA-LSTM,0.3,2.1474751591682435,0.9381871561444941,2.1340197682380677,0.9436619346904921,0.0,0.0,0.0,0.0
orig,theirhp,PGA-LSTM,0.4,2.0559183716773988,0.6505322049099566,2.034708762168884,0.6600821779413906,0.0,0.0,0.0,0.0
orig,theirhp,PGA-LSTM,0.5,1.7576663970947266,0.08105977160045749,1.7341123461723327,0.08874723728287787,0.0,0.0,0.0,0.0
orig,theirhp,PGA-LSTM,1.0,1.7079245328903199,0.07573034376219852,1.6904769778251647,0.07787391416409471,0.0,0.0,0.0,0.0
